Date,Positive Event Days Elapsed,Probability,Distribution,Parameters
2013-08-08,31,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-09,32,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-10,33,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-11,34,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-12,35,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-13,36,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-14,37,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-15,38,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-16,39,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-17,40,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-18,41,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-19,42,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-20,43,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-21,44,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-22,45,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-23,46,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-24,47,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-25,48,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-26,49,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-27,50,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-28,51,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-29,52,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-30,53,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-08-31,54,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-01,55,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-02,56,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-03,57,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-04,58,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-05,59,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-06,60,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-07,61,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-08,62,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-09,63,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-10,64,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-11,65,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-12,66,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-13,67,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-14,68,0.28853769134131835,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-15,69,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-16,70,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-17,71,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-18,72,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-19,73,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-20,74,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-21,75,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-22,76,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-23,77,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
